"table","file","module"
"movimientos_inventario","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"producto_existencias","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"vw_kardex_valorizado","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"recepciones","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"recepcion_items","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"orden_compra_detalles","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"almacenes","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"almacen_ubicaciones","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"vw_inventario_recepciones","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"recepcion_items","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"orden_compra_detalles","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"almacenes","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"almacen_ubicaciones","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"ordenes_compra","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"proveedores","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"integration_logs","apps\erp-api\src\modules\inventario\inventario.service.ts","inventario"
"almacen_ubicaciones","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"stock_movimientos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_precios_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_stock_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"stock_movimientos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_precios_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_stock_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"stock_movimientos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_precios_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_stock_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"stock_movimientos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_precios_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"producto_stock_sucursal","apps\erp-api\src\modules\inventario\inventario.controller.ts","inventario"
"empleados","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"departamentos","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"empleados","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"empleados","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"empleados","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"departamentos","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"vacantes","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"vacantes","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"candidatos","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
"candidatos","apps\erp-api\src\modules\rrhh\rrhh.service.ts","rrhh"
