"file","module","object_type","object_name"
"017_fix_rls_superadmin_access.sql","seguridad","policy","ventas_tenant_isolation on ventas"
"017_fix_rls_superadmin_access.sql","seguridad","policy","venta_detalles_tenant_isolation on venta_detalles"
"017_fix_rls_superadmin_access.sql","seguridad","policy","ventas_pos_tenant_isolation on ventas_pos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","detalle_ventas_pos_tenant_isolation on detalle_ventas_pos"
"017_fix_rls_superadmin_access.sql","seguridad","policy","audit_log_tenant_isolation on audit_log"
"020_finanzas_completo.sql","finanzas","table","cuentas_bancarias"
"020_finanzas_completo.sql","finanzas","table","movimientos_bancarios"
"020_finanzas_completo.sql","finanzas","policy","cuentas_bancarias_tenant_isolation on cuentas_bancarias"
"020_finanzas_completo.sql","finanzas","policy","movimientos_bancarios_tenant_isolation on movimientos_bancarios"
"020_finanzas_completo.sql","finanzas","policy","cuentas_por_pagar_tenant_isolation on cuentas_por_pagar"
"021_pago_lote_transaction.sql","core","function","procesar_pago_lote"
"025_fix_rls_all_tables.sql","seguridad","view","v_rls_status_contabilidad"
"025_fix_rls_all_tables.sql","seguridad","view","v_rls_status_rrhh_maestras"
"025_fix_rls_all_tables.sql","seguridad","view","v_rls_status_rrhh_transaccionales"
"025_fix_rls_all_tables.sql","seguridad","view","v_rls_status_all_tables"
"025_fix_rls_all_tables.sql","seguridad","view","v_rls_summary_by_module"
"025_fix_rls_all_tables.sql","seguridad","function","add_tenant_id_if_missing"
"025_fix_rls_all_tables.sql","seguridad","function","enable_rls_tenant_isolation"
"026_rls_empleado_relaciones.sql","rrhh,seguridad","view","v_rls_status_empleado_relaciones"
"030_add_tenant_id_finanzas.sql","finanzas,seguridad","view","v_tenant_id_status_finanzas"
"031_create_indices_finanzas.sql","finanzas","view","v_indices_tenant_finanzas"
"031_create_indices_finanzas.sql","finanzas","view","v_performance_indices_finanzas"
"032_enable_rls_finanzas.sql","finanzas,seguridad","view","v_rls_status_finanzas"
"032_enable_rls_finanzas.sql","finanzas,seguridad","view","v_rls_policies_finanzas"
"033_audit_rls_violations.sql","seguridad","table","rls_audit_log"
"033_audit_rls_violations.sql","seguridad","view","v_rls_violations_by_table"
"033_audit_rls_violations.sql","seguridad","view","v_rls_violations_recent"
"033_audit_rls_violations.sql","seguridad","view","v_rls_violations_by_user"
